Артикул;Цена;Размеры внешние;Размеры внутренние;Вес, кг;Объём, л;Размеры трейзера;Количество полок;Тип замка;Цвет;Тип покрытия;Гарантия;Гарантия на замок;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Бухгалтерский шкаф AIKO SL-32;5126руб.;320x420x350;318x418x344;10.3;43;;1;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;;ПРОМЕТ;Россия;Предназначены для хранения документов в офисе сварная конструкция из стали толщина лицевой панели – 1,2 ммтолщина боковых стенок – 1.2 мм комплектуются ключевыми замками Практик комплектуются переставными полкамипоставляются в собранном виде ;https://www.safe.ru/upload/iblock/965/965ba7362ba08a68bece301ed700df03.jpg;https://www.safe.ru/upload/resize_cache/iblock/249/450_490_1/249bdab55e06217435b3e87b700fdd64.jpg;https://www.safe.ru/upload/resize_cache/iblock/286/450_490_1/286bfca80b31cf2a91e67aaf14de88b3.jpg;https://www.safe.ru/upload/iblock/965/965ba7362ba08a68bece301ed700df03.jpg;
Бухгалтерский шкаф AIKO SL-32Т;5656руб.;320x420x350;183x418x344;11;24.9/16;133x418x300;1;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;;ПРОМЕТ;Россия;Предназначены для хранения документов в офисе сварная конструкция из стали толщина лицевой панели – 1,2 ммтолщина боковых стенок – 1.2 мм комплектуются ключевыми замками Практикоборудованы встроенным отделением, запирающимся на ключпоставляются в собранном виде ;https://www.safe.ru/upload/iblock/c1a/c1ae0867c4f75709de88a8fcd3adb46f.jpg;https://www.safe.ru/upload/resize_cache/iblock/b7b/450_490_1/b7bd0eca5f972a21fafb5669832841ab.jpg;https://www.safe.ru/upload/resize_cache/iblock/845/450_490_1/8455cf5a7b1be8b3dc155ef2c3d01814.jpg;https://www.safe.ru/upload/iblock/c1a/c1ae0867c4f75709de88a8fcd3adb46f.jpg;
Бухгалтерский шкаф AIKO SL-65Т;7512руб.;630x460x340;465x458x308;17.5;65.5/18.3;133x458x291;1;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);Порошковое;1 год;1 год;ПРОМЕТ;Россия;Предназначены для хранения документов в офисе сварная конструкция из стали толщина лицевой панели – 1,2 ммтолщина боковых стенок – 1.2 мм комплектуются ключевыми замками Практикоборудованы встроенным отделением, запирающимся на ключ комплектуются переставными полкамипоставляются в собранном виде ;https://www.safe.ru/upload/iblock/9d4/9d4ff39f5439aa173ee1731aa3a10c3d.jpg;https://www.safe.ru/upload/resize_cache/iblock/88e/450_490_1/88e6fc71d4d2e35e29ee26fb3226780a.jpg;https://www.safe.ru/upload/resize_cache/iblock/a32/450_490_1/a32334f8f0402af1bbe577bc91c769ee.jpg;https://www.safe.ru/upload/iblock/9d4/9d4ff39f5439aa173ee1731aa3a10c3d.jpg;
Бухгалтерский шкаф AIKO SL-65Т EL;9042руб.;630x460x340;465x458x308;17.5;65.5/18.3;133x458x291;1;электронный кодовый;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);Порошковое;1 год;1 год;ПРОМЕТ;Россия;Предназначены для хранения документов в офисе сварная конструкция из стали толщина лицевой панели – 1,2 ммтолщина боковых стенок – 1.2 мм  комплектуются ключевыми замками + электронный замок PLS-1оборудованы встроенным отделением, запирающимся на ключ комплектуются переставными полкамипоставляются в собранном виде;https://www.safe.ru/upload/iblock/2bd/sl_65t_el_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/5a6/450_490_1/sl_65t_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/2e8/450_490_1/sl_65t_el_2.jpg;https://www.safe.ru/upload/iblock/2bd/sl_65t_el_min.jpg;
Бухгалтерский шкаф AIKO SL-87Т;9073руб.;870x460x340;705x458x308;21.5;95/18.3;133x458x291;1;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);Порошковое;1 год;;ПРОМЕТ;Россия;Предназначены для хранения документов в офисе сварная конструкция из стали толщина лицевой панели – 1,2 ммтолщина боковых стенок – 1.2 мм комплектуются ключевыми замками Практикоборудованы встроенным отделением, запирающимся на ключ комплектуются переставными полкамипоставляются в собранном виде ;https://www.safe.ru/upload/iblock/d76/sl_87t_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/4da/450_490_1/sl_87t_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/9db/450_490_1/sl_87t_2.jpg;https://www.safe.ru/upload/iblock/d76/sl_87t_min.jpg;
Бухгалтерский шкаф AIKO SL-87Т EL;10603руб.;870x460x340;705x458x308;21.5;95/18.3;133x458x291;1;электронный кодовый;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);Порошковое;1 год;1 год;ПРОМЕТ;Россия;Предназначены для хранения документов в офисе сварная конструкция из стали толщина лицевой панели – 1,2 ммтолщина боковых стенок – 1.2 мм  комплектуются ключевыми замками + электронный замок PLS-1оборудованы встроенным отделением, запирающимся на ключ комплектуются переставными полкамипоставляются в собранном виде;https://www.safe.ru/upload/iblock/f64/sl_87t_el_t_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/b73/450_490_1/sl_87t_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/4f2/450_490_1/sl_87t_el_2.jpg;https://www.safe.ru/upload/iblock/f64/sl_87t_el_t_min.jpg;
Бухгалтерский шкаф AIKO SL-125Т;10827руб.;1252x460x340;1085x458x308;28;146.9/18.3;133x458x291;2;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);Порошковое;1 год;1 год;ПРОМЕТ;Россия;Предназначены для хранения документов в офисесварная конструкция из стали толщина лицевой панели – 1,2 ммтолщина боковых стенок – 1.2 мм комплектуются ключевыми замками Практикоборудованы встроенным отделением, запирающимся на ключ комплектуются переставными полкамипоставляются в собранном виде ;https://www.safe.ru/upload/iblock/858/858e08e686709e7947d2d12bcc593dbd.jpg;https://www.safe.ru/upload/resize_cache/iblock/815/450_490_1/815bd9386a84f82151fcb5d39d1febe0.jpg;https://www.safe.ru/upload/resize_cache/iblock/51a/450_490_1/51ad00f2b3b4406defcd2a8eae9ffb31.jpg;https://www.safe.ru/upload/iblock/858/858e08e686709e7947d2d12bcc593dbd.jpg;
Бухгалтерский шкаф AIKO SL-125Т EL;12357руб.;1252x460x340;1085x458x308;28;146.9/18.3;133x458x291;2;электронный кодовый;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);Порошковое;1 год;1 год;ПРОМЕТ;Россия;Предназначены для хранения документов в офисе сварная конструкция из стали толщина лицевой панели – 1,2 ммтолщина боковых стенок – 1.2 мм  комплектуются ключевыми замками + электронный замок PLS-1оборудованы встроенным отделением, запирающимся на ключ комплектуются переставными полкамипоставляются в собранном виде;https://www.safe.ru/upload/iblock/646/64657171fc50260b0c28c098e019667e.jpg;https://www.safe.ru/upload/resize_cache/iblock/0b4/450_490_1/0b4f243f3f0a8209029aad17aed5aa45.jpg;https://www.safe.ru/upload/resize_cache/iblock/785/450_490_1/7855124138a2e6664bb8bfac7ce38b80.jpg;https://www.safe.ru/upload/iblock/646/64657171fc50260b0c28c098e019667e.jpg;
Бухгалтерский шкаф AIKO SL-125/2Т;13092руб.;1252x460x340;465/619x458x308;30.8;63.8/84.2/18.3;133x458x291;2;два ключевых;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;1 год;ПРОМЕТ;Россия;Предназначены для хранения документов в офисе сварная конструкция из стали толщина лицевой панели – 1,2 ммтолщина боковых стенок – 1.2 мм комплектуются ключевыми замками Практикоборудованы встроенным отделением, запирающимся на ключ комплектуются переставными полкамипоставляются в собранном виде ;https://www.safe.ru/upload/iblock/eeb/eeb672ab7e4393059eff74d34b047252.jpg;https://www.safe.ru/upload/resize_cache/iblock/da5/450_490_1/da53aa04fc83235ca4bef87897c3f07e.jpg;https://www.safe.ru/upload/resize_cache/iblock/f33/450_490_1/f3360d5d2627a169f31d5f6164cad231.jpg;https://www.safe.ru/upload/iblock/eeb/eeb672ab7e4393059eff74d34b047252.jpg;
Бухгалтерский шкаф AIKO SL-125/2Т EL;14622руб.;1252x460x340;465/619x458x308;30.8;63.8/84.2/18.3;133x458x291;2;электронный кодовый + ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;1 год;ПРОМЕТ;Россия;Предназначены для хранения документов в офисе сварная конструкция из стали толщина лицевой панели – 1,2 ммтолщина боковых стенок – 1.2 ммкомплектуются ключевым замком + электронный замок PLS-1( электронный замок устанавливается только на верхнюю дверь, на остальные – ключевой)оборудованы встроенным отделением, запирающимся на ключ комплектуются переставными полкамипоставляются в собранном виде;https://www.safe.ru/upload/iblock/5bc/sl_125t_2_el_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/309/450_490_1/sl_125t_2_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/e63/450_490_1/sl_125t_2_el_2.jpg;https://www.safe.ru/upload/iblock/5bc/sl_125t_2_el_min.jpg;
