Артикул;Цена;Размеры внешние;Максимальная нагрузка;Вес, кг;Вместимость, количество папок;Количество полок;Тип замка;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Офисный шкаф ПРАКТИК M-08;12434руб.;832x915x370;60;22;не менее 24;1;ключевой;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения больших объемов документации, служебной и деловой информации.Изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014конструкция на зацепах с минимальным использование винтов (не более 4 шт.)быстрая сборка (обучающий ролик на YouTube)оригинальная конструкция ригелей из оцинкованной стали и пластиковые втулки обеспечивают бесшумный ход дверей и надежное запирание шкафашкафы комплектуются ключевыми замкамимаксимальная нагрузка на полку - 60 кгпоставляются в разобранном видеопция: окраска дверей в другие цвета из палитры производителя ;https://www.safe.ru/upload/iblock/d6e/d6ea5af84755c0d18aef1e83e459f103.jpg;https://www.safe.ru/upload/iblock/d6e/d6ea5af84755c0d18aef1e83e459f103.jpg;;;
Офисный шкаф ПРАКТИК M-18;18605руб.;1830x915x370;60;45;не менее 60;4;ключевой;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения больших объемов документации, служебной и деловой информации. Изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014оригинальная конструкция ригелей из оцинкованной стали и пластиковые втулки обеспечивают бесшумный ход дверей и надежное запирание шкафаконструкция на зацепах с минимальным использование винтов (не более 4 шт.)быстрая сборка (обучающий ролик на YouTube)шкафы комплектуются ключевыми замками и магнитными защелкамимаксимальная нагрузка на полку - 60 кгвозможность установки дополнительных полокшаг установки полок - 25ммпоставляются в разобранном видеопция: окраска дверей в другие цвета из палитры производителя ;https://www.safe.ru/upload/iblock/1f9/1f9f5449be12e5fc22abbca1b282c42a.jpg;https://www.safe.ru/upload/resize_cache/iblock/e5f/450_490_1/e5fcbed46e99258f1de4b5d2d12572bf.jpg;https://www.safe.ru/upload/resize_cache/iblock/876/450_490_1/876f3f2076232b85959ce46f1d34a99f.jpg;https://www.safe.ru/upload/iblock/1f9/1f9f5449be12e5fc22abbca1b282c42a.jpg;
Офисный шкаф ПРАКТИК AM 0891;14219руб.;832x915x458;60;23.5;не менее 24;1;ключевой;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;предназначен для хранения больших объемов документации, служебной и деловой информации.изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014оригинальная конструкция ригелей из нержавеющей стали и пластиковые втулки обеспечивают бесшумный ход дверей и надежное запирание шкафашкафы комплектуются ключевыми замкамивозможность установки полок типа BBSмаксимальная нагрузка на полку - 60 кгпоставляются в разобранном видеопция: окраска дверей в другие цвета из палитры производителя ;https://www.safe.ru/upload/iblock/47b/47bec7ee2b8b7636bbbf945f3ac0aec0.jpg;https://www.safe.ru/upload/iblock/47b/47bec7ee2b8b7636bbbf945f3ac0aec0.jpg;;;
Офисный шкаф ПРАКТИК AM 1845;15234руб.;1830x472x458;40;29.6;не менее 30;4;ключевой;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;предназначен для хранения больших объемов документации, служебной и деловой информации.изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014оригинальная конструкция ригелей из оцинкованной стали и пластиковые втулки обеспечивают бесшумный ход дверей и надежное запирание шкафашкафы комплектуются ключевыми замками и магнитными защелкамимаксимальная нагрузка на полку - 40 кгвозможность установки дополнительных полокшаг установки полок - 25ммпоставляются в разобранном видеопция: окраска дверей в другие цвета из палитры производителя ;https://www.safe.ru/upload/iblock/d7b/d7b419f945d2306b4a33bc1d80c9c1dd.jpg;https://www.safe.ru/upload/iblock/d7b/d7b419f945d2306b4a33bc1d80c9c1dd.jpg;;;
Офисный шкаф ПРАКТИК AM 1891;21185руб.;1830x915x458;60;46.6;не менее 60;4;ключевой;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;предназначен для хранения больших объемов документации, служебной и деловой информации.изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014оригинальная конструкция ригелей из оцинкованной стали и пластиковые втулки обеспечивают бесшумный ход дверей и надежное запирание шкафашкафы комплектуются ключевыми замками и магнитными защелкамимаксимальная нагрузка на полку - 60 кгвозможность установки дополнительных полокшаг установки полок - 25ммпоставляются в разобранном видеопция: окраска дверей в другие цвета из палитры производителя ;https://www.safe.ru/upload/iblock/348/348641d0a644deb4e38aed211a93c66c.jpg;https://www.safe.ru/upload/iblock/348/348641d0a644deb4e38aed211a93c66c.jpg;;;
Офисный шкаф ПРАКТИК AM 2091;30233руб.;1996x915x458;60;49.2;не менее 60;4;ключевой;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;предназначен для хранения больших объемов документации, служебной и деловой информации.изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014оригинальная конструкция ригелей из оцинкованной стали и пластиковые втулки обеспечивают бесшумный ход дверей и надежное запирание шкафашкафы комплектуются ключевыми замками и магнитными защелкамимаксимальная нагрузка на полку - 60 кгвозможность установки дополнительных полокшаг установки полок - 25ммпоставляются в разобранном видеопция: окраска дверей в другие цвета из палитры производителя ;https://www.safe.ru/upload/iblock/2fa/AM-2091-priwie.jpg;https://www.safe.ru/upload/resize_cache/iblock/486/450_490_1/48693e2f30ea76288aff649ac8952199.jpg;https://www.safe.ru/upload/iblock/2fa/AM-2091-priwie.jpg;;
Офисный шкаф ПРАКТИК СВ-11;11924руб.;930x850x400;60;22;не менее 24;1;ключевой;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения большого объема документов. Изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014 ригели из оцинкованной стали и пластиковые втулки обеспечивают бесшумный ход дверей и надежное запирание шкафа  комплектуются ключевыми замками с ручками2 уровня хранения (1 полка в комплекте)  максимальная нагрузка на полку - 60 кгПод заказ возможна окраска передних панелей в другие цвета из палитры производителя поставляются в разобранном виде ;https://www.safe.ru/upload/iblock/324/324bed8796dde1a00266503472c883a3.jpg;https://www.safe.ru/upload/resize_cache/iblock/e6e/450_490_1/e6ed0dc4a47ee30eec1602118727a034.jpg;https://www.safe.ru/upload/iblock/324/324bed8796dde1a00266503472c883a3.jpg;;
Офисный шкаф ПРАКТИК СВ-12;18197руб.;1860x850x400;60;41;не менее 48;4;ключевой;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения большого объема документов. Изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014 ригели из оцинкованной стали и пластиковые втулки обеспечивают бесшумный ход дверей и надежное запирание шкафа  комплектуются ключевыми замками с ручками 5 уровней хранения (4 полки в комплекте)  максимальная нагрузка на полку - 60 кгвозможность установки дополнительных полокшаг установки полок - 25ммПод заказ возможна окраска передних панелей в другие цвета из палитры производителя поставляются в разобранном виде ;https://www.safe.ru/upload/iblock/23e/23e6dd41eaf60e94c7af56c7699d7d39.jpg;https://www.safe.ru/upload/iblock/23e/23e6dd41eaf60e94c7af56c7699d7d39.jpg;;;
Офисный шкаф ПРАКТИК СВ-13;13607руб.;930x850x500;60;24;не менее 24;1;ключевой;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения большого объема документов. Изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014 ригели из оцинкованной стали и пластиковые втулки обеспечивают бесшумный ход дверей и надежное запирание шкафа  комплектуются ключевыми замками с ручками 2 уровня хранения (1 полка в комплекте)  максимальная нагрузка на полку - 60 кгПод заказ возможна окраска передних панелей в другие цвета из палитры производителя поставляются в разобранном виде ;https://www.safe.ru/upload/iblock/a04/a04cc2dd9843ed50b4e899f37e95dcc3.jpg;https://www.safe.ru/upload/resize_cache/iblock/c2f/450_490_1/c2f4d1849ea3f603062af33d1e9a802e.jpg;https://www.safe.ru/upload/iblock/a04/a04cc2dd9843ed50b4e899f37e95dcc3.jpg;;
Офисный шкаф ПРАКТИК СВ-14;20267руб.;1860x850x500;60;46;не менее 48;4;ключевой;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения большого объема документов. Изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014 ригели из оцинкованной стали и пластиковые втулки обеспечивают бесшумный ход дверей и надежное запирание шкафа  комплектуются ключевыми замками с ручками5 уровней хранения (4 полки в комплекте)  максимальная нагрузка на полку - 60 кгвозможность установки дополнительных полокшаг установки полок - 25ммПод заказ возможна окраска передних панелей в другие цвета из палитры производителя поставляются в разобранном виде ;https://www.safe.ru/upload/iblock/44f/44f83387c24f5a45f2fc779c834f9783.jpg;https://www.safe.ru/upload/iblock/44f/44f83387c24f5a45f2fc779c834f9783.jpg;;;
