Артикул;Цена;Размеры внешние;Вес, кг;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Скамья для раздевалок W-1000 NT;;450x1000x350;9.7;7038;порошковое;2 года;;Россия;Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Конструкция - сварнаяМатериал сидений: шлифованная сосна размером 25х90 мм, покрытая высокопрочным акриловым лаком верх в три слоя, низ в два с промежуточной шлифовкой.Каркас изготовлен из профильной трубы сечением 25х25 ммПоставляются в собранном виде ;https://www.safe.ru/upload/iblock/862/vhp3c846g66wa52ekno2dz1uuk5swz3t/%D0%A1%D0%BA%D0%B0%D0%BC%D0%B5%D0%B9%D0%BA%D0%B0_800_1200-%D0%BC%D0%BC_min.jpg;;;;
Скамья для раздевалок W-1200 NT;;450x1200x350;11.0;7038;порошковое;2 года;;Россия;Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Конструкция - сварнаяМатериал сидений: шлифованная сосна размером 25х90 мм, покрытая высокопрочным акриловым лаком верх в три слоя, низ в два с промежуточной шлифовкой.Каркас изготовлен из профильной трубы сечением 25х25 ммРегулируемые опоры в комплектеПоставляются в собранном виде. ;https://www.safe.ru/upload/iblock/87e/a20yji529vuyek86n92yze7mxf7bq71u/%D0%A1%D0%BA%D0%B0%D0%BC%D0%B5%D0%B9%D0%BA%D0%B0_800_1200-%D0%BC%D0%BC_min.jpg;;;;
Скамья для раздевалок W-1500 NT;;450x1500x350;14.5;7038;порошковое;2 года;;Россия;Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Конструкция - сварная.Материал сидений: шлифованная сосна размером 25х90 мм, покрытая высокопрочным акриловым лаком верх в три слоя, низ в два с промежуточной шлифовкой.Каркас изготовлен из профильной трубы сечением 25х25 ммРегулируемые опоры в комплекте ;https://www.safe.ru/upload/iblock/c90/fcz9xrm606sc8nly7fp1n8cyq3dgb6fm/%D0%A1%D0%BA%D0%B0%D0%BC%D0%B5%D0%B9%D0%BA%D0%B0_1500_2000-%D0%BC%D0%BC_min.jpg;;;;
Подставка  LS 21-60;2152руб.;170/150x600x496;3;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;"Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Подставки LS и подставки со скамьей предназначены для установки на них шкафов для раздевалок серии LS.Предусмотрено крепление шкафа к подставке.Каркас изготовлен из металла 1.5 мм и профильной трубы сечением 20х20 мм. Высота опоры: подставка LS- 150 мм (возможно изготовление под заказ опоры любой высоты); подставка со скамьей- 300 мм. Цвет каркаса: серый полуматовый (RAL 7038). Тип покрытия: порошковое, влагоустойчивое. Поставляются в разобранном виде. ";https://www.safe.ru/upload/iblock/964/964a857a9219767e475c3a96860a08f1.jpg;https://www.safe.ru/upload/resize_cache/iblock/249/450_490_1/2499569888c71ce34d49dd7f91386425.jpg;;;
Подставка LS 21-80;2407руб.;170/150x808x496;3,3;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;"Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Подставки LS и подставки со скамьей предназначены для установки на них шкафов для раздевалок серии LS.Предусмотрено крепление шкафа к подставке.Каркас изготовлен из металла 1.5 мм и профильной трубы сечением 20х20 мм. Высота опоры: подставка LS- 150 мм (возможно изготовление под заказ опоры любой высоты); подставка со скамьей- 300 мм. Цвет каркаса: серый полуматовый (RAL 7038). Тип покрытия: порошковое, влагоустойчивое. Поставляются в разобранном виде. ";https://www.safe.ru/upload/iblock/6dc/6dcb244e1a43bd633fc251b1c8f72462.jpg;https://www.safe.ru/upload/resize_cache/iblock/067/450_490_1/0679a5c801b6bbf6e42edf74c8cb0e08.jpg;;;
Подставка LS 31/34;2713руб.;170/150x848x496;3.4;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;"Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Подставки LS и подставки со скамьей предназначены для установки на них шкафов для раздевалок серии LS.Предусмотрено крепление шкафа к подставке.Каркас изготовлен из металла 1.5 мм и профильной трубы сечением 20х20 мм. Высота опоры: подставка LS- 150 мм (возможно изготовление под заказ опоры любой высоты); подставка со скамьей- 300 мм. Цвет каркаса: серый полуматовый (RAL 7038). Тип покрытия: порошковое, влагоустойчивое. Поставляются в разобранном виде. ";https://www.safe.ru/upload/iblock/97e/97e97363ddb52f25986832a02e445219.jpg;https://www.safe.ru/upload/resize_cache/iblock/a90/450_490_1/a900df4c35db5a5904e74df28e0607c6.jpg;;;
Скамья-подставка LS-21-80 сосна;6467руб.;334/300x813x770;8;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Подставки LS и подставки со скамьей предназначены для установки на них шкафов для раздевалок серии LS.Предусмотрено крепление шкафа к подставке.Каркас изготовлен из металла 1.5 мм и профильной трубы сечением 20х20 мм. Материал настила сидений: шлифованная сосна размерами 20х96 мм, покрытая защитным составом.Цвет каркаса: серый полуматовый (RAL 7038). Тип покрытия: порошковое, влагоустойчивое. Поставляются в разобранном виде. ;https://www.safe.ru/upload/iblock/123/ls_21_80_min.jpg;;;;
Скамья-подставка LS-21-60 сосна;5743руб.;334/300x600x770;6;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Подставки LS и подставки со скамьей предназначены для установки на них шкафов для раздевалок серии LS.Предусмотрено крепление шкафа к подставке.Каркас изготовлен из металла 1.5 мм и профильной трубы сечением 20х20 мм. Материал настила сидений: шлифованная сосна размерами 20х96 мм, покрытая защитным составом.Цвет каркаса: серый полуматовый (RAL 7038). Тип покрытия: порошковое, влагоустойчивое. Поставляются в разобранном виде. ;https://www.safe.ru/upload/iblock/d4f/ls_21_60_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/17e/450_490_1/21_60.jpg;;;
Скамья для раздевалок W-2000 NT;;450x2000x350;18.8;7038;порошковое;2 годf;;Россия;Используется для оснащения раздевалок в спортивных центрах и на производственных предприятиях. Конструкция - сварная.Материал сидений: шлифованная сосна размером 25х90 мм, покрытая высокопрочным акриловым лаком верх в три слоя, низ в два с промежуточной шлифовкой.Каркас изготовлен из профильной трубы сечением 25х25 мм.Поставляются в собранном виде. ;https://www.safe.ru/upload/iblock/43d/zjasdbi9305fy2t2vktumgopy29puqxl/%D0%A1%D0%BA%D0%B0%D0%BC%D0%B5%D0%B9%D0%BA%D0%B0_1500_2000-%D0%BC%D0%BC_min.jpg;;;;
Опора ML-300 базового модуля;2132руб.;150x300x500;-;серый полуматовый (RAL 7038);порошковое, влагоустойчивое;1 год;ПРОМЕТ;Россия;Предусмотрено крепление шкафа к опореКаркас изготовлен из металла 1.2 мм и профильной трубы сечением 20х20 ммВысота опоры - 150 мм (возможно изготовление под заказ опоры любой высоты)Цвет каркаса: серый полуматовый (RAL 7038)Тип покрытия: порошковое, влагоустойчивоеПоставляются в разобранном виде;https://www.safe.ru/upload/iblock/5f0/opora_ml_300_osn_min.jpg;;;;
