Артикул;Цена;Размеры внешние;Размеры внутренние;Вес, кг;Объём, л;Класс взломостойкости;Количество полок;Тип замка;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Офисный сейф AIKO TM-25;10700руб.;250x340x280;246x336x226;10;19;класс S1;1;ключевой;оттенок коричневого с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). защита замка от высверливаниякомплектуются ключевым замком BORDER предусмотрена возможность анкерного крепления к полу и стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD ;https://www.safe.ru/upload/iblock/da4/0j0w94t4ctrn36bm7534t6u0amxfe95k/aiko_tm_25_kl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/d91/ca8op39o92ptvt2s9jldm7woaf7b3ldr/450_490_1/aiko_tm_25_kl_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/f52/h1a7bdaurnotqmz8c7lcigf1lfgvt721/450_490_1/aiko_tm_25_kl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/c76/hllvl04cg4uxhyr4qc9zmv6vdpjt2f3y/450_490_1/aiko_tm_25_kl_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/55e/w7kjve2rw4976g6e4nq3pp75tqb8yhd4/450_490_1/aiko_tm_25_kl_4.jpg
Офисный сейф AIKO TM-25 EL;11720руб.;250x340x280;246x336x226;10;19;класс S1;1;электронный кодовый;оттенок коричневого с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). защита замка от высверливаниякомплектуются электронным кодовым замком PLS-3.2 (ПРОМЕТ) + аварийным мастер-ключом предусмотрена возможность анкерного крепления к полу и стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD ;https://www.safe.ru/upload/iblock/490/490dbae746c0114d03bcae11bd1d2149.jpg;https://www.safe.ru/upload/resize_cache/iblock/b8c/450_490_1/b8c9b7ca410493e57bafd57a755b9420.jpg;https://www.safe.ru/upload/resize_cache/iblock/7a4/450_490_1/7a45a69ffeecead3d85093565a188ef8.jpg;https://www.safe.ru/upload/iblock/490/490dbae746c0114d03bcae11bd1d2149.jpg;
Офисный сейф AIKO TM-30;12128руб.;300x440x355;296x436x301;16;39;класс S1;1;ключевой;оттенок коричневого с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). защита замка от высверливаниякомплектуются ключевым замком BORDER предусмотрена возможность анкерного крепления к полу и стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD ;https://www.safe.ru/upload/iblock/6e4/zafnuu2z1ng381nujk99ifs118vet0li/aiko_tm_30_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/4a2/5av83phm7cwv99iroxeltetak7ter82o/450_490_1/aiko_tm_30_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/9cf/pn2925ahul1uymzi7ditsfnukw3avb5s/450_490_1/aiko_tm_30_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/116/om1d2pdqoz4tbr5ys006ez3u40syn390/450_490_1/aiko_tm_30_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/fce/r2c1v7jyisxq3p365mq5sq6eundn9i00/450_490_1/aiko_tm_30_4.jpg
Офисный сейф AIKO ТМ-30 EL;13148руб.;300x440x355;296x436x301;16;39;класс S1;1;электронный кодовый;оттенок коричневого с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). защита замка от высверливаниякомплектуются электронным кодовым замком PLS-3.2 (ПРОМЕТ) + аварийным мастер-ключом предусмотрена возможность анкерного крепления к полу и стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD ;https://www.safe.ru/upload/iblock/400/400eda1d0ddda40b4f6e0ef60b568a61.jpg;https://www.safe.ru/upload/resize_cache/iblock/5cb/450_490_1/5cbef46d267a20456f624bd34f4e42bd.jpg;https://www.safe.ru/upload/resize_cache/iblock/f8e/450_490_1/f8e0e722a471d4187dc94473f74a5518.jpg;https://www.safe.ru/upload/iblock/400/400eda1d0ddda40b4f6e0ef60b568a61.jpg;
Офисный сейф AIKO ТМ-46;15188руб.;460x440x355;456x436x301;21;60;класс S1;1;ключевой;Оттенок коричневого с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). защита замка от высверливаниякомплектуются ключевым замком Border предусмотрена возможность анкерного крепления к полу и стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD ;https://www.safe.ru/upload/iblock/225/ktpt3ko48axnwxskl1ouc4fqu8iczyk3/tm46_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/56b/jqedzw3acz8tnbyzbt32faiqzmtu1jn5/450_490_1/tm46_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/304/8w97ycsgh4ttzewu1w3jf0abp4dz7d5k/450_490_1/tm46_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/416/guxu442vhanxotyz51hgmh2x52eo51f8/450_490_1/tm46_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/0dc/3k8xuuu31tbkf7sx4eplgjdz3uyzgxxh/450_490_1/tm46_3.jpg
Офисный сейф AIKO TM-63T;18248руб.;630x440x355;500x436x301;29,8;66/13;класс S1;1;ключевой;Оттенок коричневого с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). защита замка от высверливаниякомплектуются ключевым замком Border предусмотрена возможность анкерного крепления к полу и стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD ;https://www.safe.ru/upload/iblock/914/o3y9aw4w5cmvg5rb93q31uqcnrrm9ezp/aiko_tm_63t_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/06f/8rrkzhedlxvzwxmg3zh30fq2eoyl2ctj/450_490_1/aiko_tm_63t.jpg;https://www.safe.ru/upload/resize_cache/iblock/279/p1k087rajwtmfubl7cvxtmfsx0ku1aeh/450_490_1/aiko_tm_63t_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/d51/6t7y00s5t0jcnob7zzbe3imvag2h9s78/450_490_1/aiko_tm_63t_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/54b/ajgqyvdf4hqdxmsa3kvby6qc3o5ldnql/450_490_1/aiko_tm_63t_3.jpg
Офисный сейф AIKO TM-63T EL;19268руб.;630x440x355;500x436x301;29;66/13;класс S1;1;электронный кодовый;Оттенок коричневого с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). защита замка от высверливаниякомплектуются электронным кодовым замком PLS-1 (ПРОМЕТ) + аварийным мастер-ключом предусмотрена возможность анкерного крепления к полу и стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD ;https://www.safe.ru/upload/iblock/385/aiko_tm_63t_el_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/92d/450_490_1/aiko_tm_63t_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/f06/450_490_1/aiko_tm_63t_el_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/c34/450_490_1/aiko_tm_63t_el_3.jpg;https://www.safe.ru/upload/iblock/385/aiko_tm_63t_el_min.jpg
Офисный сейф AIKO TM-90T;24164руб.;900x440x355;770x436x301;39.5;101/13;класс S1;1;ключевой;Оттенок коричневого с эффектом молотковой эмали;Порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). защита замка от высверливаниякомплектуются ключевым замком Border предусмотрена возможность анкерного крепления к полу и стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD ;https://www.safe.ru/upload/iblock/a7a/e0d28868wtupsomuhgt0sexnhgy3d2ak/aiko_tm_90_kl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/366/xisr7pu8c1l3abpa6j5bas9kbjfewsan/450_490_1/aiko_tm_90_kl_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/dcc/obuy28jp3zpp29qv07rlm8s0lg22004t/450_490_1/aiko_tm_90_kl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/bcc/klbgix1huni2lnsoflbqumtfd5vra39n/450_490_1/aiko_tm_90_kl_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/d6f/khdkp240g7anuwlfock3ozrw5mfiuxk4/450_490_1/aiko_tm_90_kl_4.jpg
Офисный сейф AIKO TM-90T EL;25184руб.;900x440x355;770x436x301;43;101/13;класс S1;1;электронный кодовый;Оттенок коричневого с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). защита замка от высверливаниякомплектуются электронным кодовым замком PLS-1 (ПРОМЕТ) + аварийным мастер-ключом предусмотрена возможность анкерного крепления к полу и стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD ;https://www.safe.ru/upload/iblock/bf3/bf362408a3f965ea56c96118073bd3ce.jpg;https://www.safe.ru/upload/iblock/bf3/bf362408a3f965ea56c96118073bd3ce.jpg;;;
Офисный сейф AIKO TM-120T;28448руб.;1200x440x355;1060x436x301;52;132/13;класс S1;2;ключевой;Оттенок коричневого с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). защита замка от высверливаниятолщина лицевой панели двери - 4 ммкомплектуются ключевым замком Border предусмотрена возможность анкерного крепления к полу и стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD ;https://www.safe.ru/upload/iblock/c9a/6i2e0c448a2o1wg06h3dueb2uu6b1orh/%D0%A2%D0%9C-120_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/b0c/6cv8efhxj09laqgv9boayqyll6wsmx07/450_490_1/ТМ-120.jpg;https://www.safe.ru/upload/resize_cache/iblock/c89/o2pud3m448zswm18r4bi4l80zruxj0wa/450_490_1/ТМ-120_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/8ff/jow4g7qxlcqx17cknrs0e6cpr1dx6puh/450_490_1/ТМ-120_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/1eb/2qw60sjtsloikme8ddkczwto8cnurvid/450_490_1/ТМ-120_3.jpg
