Артикул;Цена;Размеры внешние;Размеры внутренние;Вес, кг;Объём, л;Класс взломостойкости;Количество полок;Тип замка;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Офисный сейф AIKO TSN.30;11720руб.;300x435x360;296x430x300;15;37;класс S1;1;ключевой;графит структурированный (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). толщина двери - 59 ммтолщина боковых стенок - 1,5 ммзащита замка от высверливаниявращающиеся ригелякомплектуются ключевым замком Border предусмотрена возможность анкерного крепления к полу (анкерный болт в комплект не входит) ;https://www.safe.ru/upload/iblock/32c/0rmic866xrv3y8tdgh0wtyb2qv5n2h7u/TSN-30_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/0e1/3wcg4u2ke69j12jp9xk71e4avqm3i32b/450_490_1/TSN-30_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/97f/6xn5dtk2mz83q4llskt0mzs2cx80m6cu/450_490_1/TSN-30_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/14e/nywrvdwmddklenv5cc1woynvb4wycsgb/450_490_1/TSN-30_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/5e2/n30y9lkyg5vk05a24fharrqrulgmjaph/450_490_1/TSN-30_4.jpg
Офисный сейф AIKO TSN.30-EL;12944руб.;300x435x360;296x430x300;15;37;класс S1;1;электронный кодовый;графит структурированный (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). толщина двери - 59 ммтолщина боковых стенок - 1,5 ммзащита замка от высверливаниявращающиеся ригелякомплектуются электронным кодовым замком PLS-1 + аварийный мастер-ключ предусмотрена возможность анкерного крепления к полу (анкерный болт в комплект не входит) ;https://www.safe.ru/upload/iblock/62c/tsn_30_el_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/d11/450_490_1/tsn_30_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/b70/450_490_1/tsn_30_el_2.jpg;;
Офисный сейф AIKO TSN.37;12944руб.;370x435x360;366x430x300;16.8;47;класс S1;1;ключевой;графит структурированный (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). толщина двери - 59 ммтолщина боковых стенок - 1,5 ммзащита замка от высверливаниявращающиеся ригелякомплектуются ключевым замком Border предусмотрена возможность анкерного крепления к полу (анкерный болт в комплект не входит) ;https://www.safe.ru/upload/iblock/2ea/2bsve8y4u8s9r3xo7nv56lofaw0fkbnv/aiko_tsn_37_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/44f/r1ypb2hhogtcf73q6i8lkgtp7llub70z/450_490_1/aiko_tsn_37_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/31b/0f1u175itssi9xqr85uo6qy5nksj1d11/450_490_1/aiko_tsn_37_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/50a/pafz48scov1ghlni2d3bu68a07bqshvq/450_490_1/aiko_tsn_37_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/2e5/ytmtdq5nwltzqf44yjht832m9xlnh175/450_490_1/aiko_tsn_37_5.jpg
Офисный сейф AIKO TSN.37 EL;14168руб.;370x435x381;366x430x300;17.1;47;класс S1;1;электронный кодовый;темно-серый (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).толщина двери - 59 ммтолщина боковых стенок - 1,5 ммзащита замка от высверливаниявращающиеся ригелякомплектуются электронным кодовым замком PLS-1 + аварийный мастер-ключпредусмотрена возможность анкерного крепления к полу (анкерный болт в комплект не входит) ;https://www.safe.ru/upload/iblock/05d/05d9744614a436da3dff6eedbaca2195.jpg;https://www.safe.ru/upload/resize_cache/iblock/d0f/450_490_1/37El-2.jpg;https://www.safe.ru/upload/resize_cache/iblock/32e/450_490_1/37EL.jpg;https://www.safe.ru/upload/iblock/05d/05d9744614a436da3dff6eedbaca2195.jpg;
Офисный сейф AIKO TSN.50;14882руб.;500x435x360;496x430x300;20.4;66;класс S1;1;ключевой;графит структурированный (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). толщина двери - 59 ммтолщина боковых стенок - 1,5 ммзащита замка от высверливаниявращающиеся ригелякомплектуются ключевым замком Border предусмотрена возможность анкерного крепления к полу (анкерный болт в комплект не входит) ;https://www.safe.ru/upload/iblock/c3a/eb23qfr8q4b6fkyvv223j0dr3tcfr351/aiko_tsn_50_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/819/ihnztg0m2z8fqiom7gwhpq0ap5kyjgan/450_490_1/aiko_tsn_50_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/769/km5130nzgy4nstm5e56x3vcdycs1ossb/450_490_1/aiko_tsn_50_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/d98/sw9zznvesh4zvslhmw9w06nwizvr0txw/450_490_1/aiko_tsn_50_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/b8f/ujl569p1c72ejwftzp2sbekc0jr1bybe/450_490_1/aiko_tsn_50_4.jpg
Офисный сейф AIKO TSN.50 EL;16106руб.;500x435x381;496x430x300;20.7;66;класс S1;1;электронный кодовый;графит структурированный (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). толщина двери - 59 ммтолщина боковых стенок - 1,5 ммзащита замка от высверливаниявращающиеся ригелякомплектуются электронным кодовым замком PLS-1 + аварийный мастер-ключ предусмотрена возможность анкерного крепления к полу (анкерный болт в комплект не входит) ;https://www.safe.ru/upload/iblock/0bb/TSN-50EL-priwie.jpg;https://www.safe.ru/upload/resize_cache/iblock/9e7/450_490_1/TSN-50EL-3.jpg;https://www.safe.ru/upload/resize_cache/iblock/272/450_490_1/TSN-50El-2.jpg;https://www.safe.ru/upload/iblock/0bb/TSN-50EL-priwie.jpg;
Офисный сейф AIKO TSN.65T;17228руб.;650x435x360;468x430x300;28;60/20;класс S1;1;ключевой;графит структурированный (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). толщина двери - 59 ммтолщина боковых стенок - 1,5 ммзащита замка от высверливаниявращающиеся ригелякомплектуются ключевым замком Borderпредусмотрена возможность анкерного крепления к полу (анкерный болт в комплект не входит) ;https://www.safe.ru/upload/iblock/397/w7fxajxeh3nn9sdk5w3pu4wmob0j4sqb/aiko_tsn_65t_kl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/5c7/tfdy46b05n7r34fm4aygjpudt13q0t7l/450_490_1/aiko_tsn_65t_kl_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/19c/zeebbpzhhb9zjxly03bje0en7tiu2c21/450_490_1/aiko_tsn_65t_kl_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/c8a/v1308tatexnnwl4xds1rgqr7q9w5h36v/450_490_1/aiko_tsn_65t_kl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/eba/f3ddtf5g7k5ozll00i7pgo53xl8esdkg/450_490_1/aiko_tsn_65t_kl_4.jpg
Офисный сейф AIKO TSN.65T EL;18452руб.;650x435x381;468x430x300;28;60/20;класс S1;1;электронный кодовый;темно-серый (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). толщина двери - 59 ммтолщина боковых стенок - 1,5 ммзащита замка от высверливаниявращающиеся ригелякомплектуются электронным кодовым замком PLS-1 + аварийный мастер-ключ предусмотрена возможность анкерного крепления к полу (анкерный болт в комплект не входит) ;https://www.safe.ru/upload/iblock/9df/9dfe6edc5db3f47d99aee9bc3a02fd5b.jpg;https://www.safe.ru/upload/resize_cache/iblock/f07/450_490_1/TSN65T-EL-1.jpg;https://www.safe.ru/upload/resize_cache/iblock/8f2/450_490_1/TSN65T-EL-2.jpg;https://www.safe.ru/upload/iblock/9df/9dfe6edc5db3f47d99aee9bc3a02fd5b.jpg;
Офисный сейф AIKO TSN.90T;22226руб.;900x435x360;718x430x300;35;92/20;класс S1;1;ключевой;графит структурированный (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). толщина двери - 59 ммтолщина боковых стенок - 1,5 ммзащита замка от высверливаниявращающиеся ригелякомплектуются ключевым замком Borderпредусмотрена возможность анкерного крепления к полу (анкерный болт в комплект не входит) ;https://www.safe.ru/upload/iblock/ea4/f2lkjg1abr3josy18by8m1rl9u2eiel1/aiko_tsn_90t_kl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/f8b/7g1f3kwscxmc8y9oxv6bl4u2s3whwpl1/450_490_1/aiko_tsn_90t_kl_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/f5a/njlov8je6myn36cwhwetltj4c13excld/450_490_1/aiko_tsn_90t_kl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/071/tjj02xlsj4u0gmxufq63u8s4s53jgg7x/450_490_1/aiko_tsn_90t_kl_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/50e/228ilyr13ho4k6fzll34ap3gw3zfw18j/450_490_1/aiko_tsn_90t_kl_4.jpg
Офисный сейф AIKO TSN.90T-EL;23450руб.;900x435x360;718x430x300;35;92/20;класс S1;1;электронный кодовый;графит структурированный (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе.Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р). толщина двери - 59 ммтолщина боковых стенок - 1,5 ммзащита замка от высверливаниявращающиеся ригелякомплектуются электронным кодовым замком PLS-1 + аварийный мастер-ключпредусмотрена возможность анкерного крепления к полу (анкерный болт в комплект не входит) ;https://www.safe.ru/upload/iblock/a73/tsn_90t_min.jpg;;;;
