Артикул;Цена;Размеры внешние;Размеры внутренние;Вес, кг;Объём, л;Тип замка;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Мебельный сейф AIKO Т-140 KL;2943руб.;140x195x140;138x193x107;2.3;2.5;ключевой;графит с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения незначительных ценностей, документов и личного огнестрельного оружиятолщина лицевой панели – 2.8 мм.комплектуются ключевым замком Borderпредусмотрена возможность анкерного крепления к стене;https://www.safe.ru/upload/iblock/c9b/3pa8v99q3m91wszmxvk6sfgkq5lzpm3i/t_140_kl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/c4f/w9lwiwvpun2csg89x7l092ti89k5wvo0/450_490_1/t_140_kl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/7c8/jyvo4yfducwrjmjnaaetn0hru7jyiehz/450_490_1/t_140_kl_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/265/gwir44qs88ypx5x5m4grztst927ozow9/450_490_1/t_140_kl_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/12f/iq52fh513t8p3wrqdvpeh9qnsc9av9v4/450_490_1/t_140_kl_4.jpg
Мебельный сейф AIKO Т-140 EL;3963руб.;140x195x140;138x193x107;2.3;2.5;электронный кодовый;графит с эффектом молотковой эмали (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения незначительных ценностей, документов и личного огнестрельного оружиятолщина лицевой панели – 2.8 мм.комплектуются электронным кодовым замком PLS-3.2 (ПРОМЕТ) + аварийный мастер-ключпредусмотрена возможность анкерного крепления к стене;https://www.safe.ru/upload/iblock/de4/o24swfl3s60ws3zfjigc5hnkabi0z9db/t_140_el_mi.jpg;https://www.safe.ru/upload/resize_cache/iblock/3d3/ni7gp9c06sjno4rd8qnxomlzcbbqsujz/450_490_1/t_140_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/422/q8i8xfyehz44tgn6hzyidgmfa77ffjvg/450_490_1/t_140_el_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/e76/1aime225z8xs9nyc2pugln236mj8qszj/450_490_1/t_140_el_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/377/vh9a2cs914ujbfy9ggygermkkxpyat6b/450_490_1/t_140_el_3.jpg
Мебельный сейф AIKO Т-140 KL;2943руб.;140x195x140;138x193x107;2.3;2.5;ключевой;графит с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения незначительных ценностей, документов и личного огнестрельного оружиятолщина лицевой панели – 2.8 мм.комплектуются ключевым замком Borderпредусмотрена возможность анкерного крепления к стене;https://www.safe.ru/upload/iblock/c9b/3pa8v99q3m91wszmxvk6sfgkq5lzpm3i/t_140_kl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/c4f/w9lwiwvpun2csg89x7l092ti89k5wvo0/450_490_1/t_140_kl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/7c8/jyvo4yfducwrjmjnaaetn0hru7jyiehz/450_490_1/t_140_kl_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/265/gwir44qs88ypx5x5m4grztst927ozow9/450_490_1/t_140_kl_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/12f/iq52fh513t8p3wrqdvpeh9qnsc9av9v4/450_490_1/t_140_kl_4.jpg
Мебельный сейф AIKO Т-140 EL;3963руб.;140x195x140;138x193x107;2.3;2.5;электронный кодовый;графит с эффектом молотковой эмали (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения незначительных ценностей, документов и личного огнестрельного оружиятолщина лицевой панели – 2.8 мм.комплектуются электронным кодовым замком PLS-3.2 (ПРОМЕТ) + аварийный мастер-ключпредусмотрена возможность анкерного крепления к стене;https://www.safe.ru/upload/iblock/de4/o24swfl3s60ws3zfjigc5hnkabi0z9db/t_140_el_mi.jpg;https://www.safe.ru/upload/resize_cache/iblock/3d3/ni7gp9c06sjno4rd8qnxomlzcbbqsujz/450_490_1/t_140_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/422/q8i8xfyehz44tgn6hzyidgmfa77ffjvg/450_490_1/t_140_el_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/e76/1aime225z8xs9nyc2pugln236mj8qszj/450_490_1/t_140_el_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/377/vh9a2cs914ujbfy9ggygermkkxpyat6b/450_490_1/t_140_el_3.jpg
Мебельный сейф AIKO T-170 KL;3147руб.;170x260x230;168x258x185;3.7;8;ключевой;графит с эффектом молотковой эмали (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения незначительных ценностей, документов и личного огнестрельного оружиятолщина лицевой панели – 2.8 мм.комплектуются ключевым замком Borderпредусмотрена возможность анкерного крепления к стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD;https://www.safe.ru/upload/iblock/537/6texytmk4du8s148b8hb7zh97zvibybe/t_170_kl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/733/qbu8iktsj4jtkbfwn2x1z9tm9n4w7z3o/450_490_1/t_170_kl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/f06/vt73dztkasv1li15wusd1gqyd13o1uqq/450_490_1/t_170_kl_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/70c/uk9ms4r2shxcgw8kd4zy5dzol726crxn/450_490_1/t_170_kl_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/178/yo7902cz5yrrnx7yof11q0fihbu29qsi/450_490_1/t_170_kl_3.jpg
Мебельный сейф AIKO Т-170 EL;4677руб.;170x260x230;168x258x185;3.7;8;электронный кодовый;графит с эффектом молотковой эмали (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения незначительных ценностей, документов и личного огнестрельного оружиятолщина лицевой панели – 2.8 мм.комплектуются электронным кодовым замком PLS-3.2 (ПРОМЕТ) + аварийный мастер-ключпредусмотрена возможность анкерного крепления к стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD;https://www.safe.ru/upload/iblock/854/dsawjfrl8almhf2gix9l501qe6tmttc3/t_170_el_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/9b3/a58vmtjxt129m4z09nuvp2x3y61nff9f/450_490_1/t_170_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/7cf/w07x08mtyphfj26xglv4iabgbzhlcnxc/450_490_1/t_170_el_5.jpg;https://www.safe.ru/upload/resize_cache/iblock/0eb/8eyhbhc02wzz0gm38eae1xqa37mh6hbc/450_490_1/t_170_el_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/e60/hct3n88cqby3dnnsb9aglefjvvlc59ap/450_490_1/t_170_el_3.jpg
Мебельный сейф AIKO Т-200 KL;3963руб.;200x310x200;198x308x167;4.5;10.2;ключевой;графит с эффектом молотковой эмали (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения незначительных ценностей, документов и личного огнестрельного оружиятолщина лицевой панели – 2.8 мм.комплектуются ключевым замком Borderпредусмотрена возможность анкерного крепления к стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD;https://www.safe.ru/upload/iblock/0a5/7xlbuwnhat0uxpemd8b1v8aiprjhc0t4/t_200_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/94a/wbeizvhg53a7khieke3bhewwhtj5qf4l/450_490_1/t_200_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/38f/fxd3nz4cmoykvkovfzgntb5zbp3d19vv/450_490_1/t_200_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/db2/zxso30g7bn72360tihrjzcar1tqb5sme/450_490_1/t_200_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/2ad/l8u6eqg909d3g5pc311rk8cm54w91307/450_490_1/t_200_4.jpg
Мебельный сейф AIKO Т-200 EL;5493руб.;200x310x200;198x308x167;4.5;10.2;электронный кодовый;графит с эффектом молотковой эмали (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения незначительных ценностей, документов и личного огнестрельного оружиятолщина лицевой панели – 2.8 мм.комплектуются электронным кодовым замком PLS-3.2 (ПРОМЕТ) + аварийный мастер-ключпредусмотрена возможность анкерного крепления к стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD;https://www.safe.ru/upload/iblock/f37/5h3opu9lc0lypgw8p11hgzg3l9zr9ird/t_200_el_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/09b/4bho7qff07lq96wlaogcf6937e2c2mfw/450_490_1/t_200_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/589/mfyf2ywx0xtee1761x71nxomdys4wg66/450_490_1/t_200_el_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/8c5/93t6sowifhwqvoqass9dpxm5sz7171k1/450_490_1/t_200_el_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/2ea/hbgcgp3e1mpobobs90p7wbpovor24n7t/450_490_1/t_200_el_4.jpg
Мебельный сейф AIKO Т-230 KL;4065руб.;230x310x250;228x308x217;5.5;14.4;ключевой;графит с эффектом молотковой эмали (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения незначительных ценностей, документов и личного огнестрельного оружиятолщина лицевой панели – 2.8 мм.комплектуются ключевым замком Borderпредусмотрена возможность анкерного крепления к стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD;https://www.safe.ru/upload/iblock/7c5/r75iaay5mvhhtqpbww91pa38e6fbnq05/t_230_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/336/ra7163t8viha3vjj2f93n54kiphzagtp/450_490_1/t_230_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/467/up380tq8ytuv64y7m9lqxbzdmrk4l71i/450_490_1/t_230_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/5c4/g8310mezsypgsw0cax3nvtjgd9az3odb/450_490_1/t_230_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/197/1moah00ex4th2ep0344a8kyr1q4b6y4u/450_490_1/t_230_4.jpg
Мебельный сейф AIKO Т-230 EL;5605руб.;230x310x250;228x308x217;5.5;14.4;электронный кодовый;графит с эффектом молотковой эмали (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для хранения незначительных ценностей, документов и личного огнестрельного оружиятолщина лицевой панели – 2.8 мм.комплектуются электронным кодовым замком PLS-3.2 (ПРОМЕТ) + аварийный мастер-ключпредусмотрена возможность анкерного крепления к стенепод заказ возможна установка биометрического кодового замка PLS2.4 FD;https://www.safe.ru/upload/iblock/5da/4pycgfr3upogowyo9mqq4mo0wazuuem5/t_230_el_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/550/h4820bvtwdagtf2t3ezjgm8zo34p04lu/450_490_1/t_230_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/278/fddag3al1wdhf64qett86bifrgj3maqa/450_490_1/t_230_el_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/e2c/fqxtsglvyg3cnmadr1qbue1vmefj6i4t/450_490_1/t_230_el_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/b09/h56ep0kmiskw4my4xi7o6lsb13ahf3eo/450_490_1/t_230_el_3.jpg
