Артикул;Цена;Размеры внешние;Размеры внутренние;Вес, кг;Объём, л;Класс взломостойкости;Количество полок;Тип замка;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Мебельный сейф VALBERG ASM-25;13352руб.;250x340x280;246x336x226;12.5;19;класс S1;1;ключевой;оттенок коричневого с эффектом молотковой эмали;порошковое;5 лет (с учетом прохождения планового ТО);ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).        толщина лицевой панели - 5 мм толщина боковых стенок - 2 ммзащита замка от высверливаниякомплектуются ключевым замком KABA MAUER предусмотрена возможность анкерного крепления к полу и стене (анкерный болт в комплект не входит);https://www.safe.ru/upload/iblock/c3f/80538e552gcfjixh1exwkti1fjcqgvh1/asm_25_kl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/cd5/us0qwpvl0k1m3wom4ctay1auu0vnyf0p/450_490_1/asm_25_kl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/7d7/kyv0dkvien7u5nj93i2lni7kj4sru9jo/450_490_1/asm_25_kl_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/0c0/2cjbtqbwtfjui0joee7fa1mapphhwaa2/450_490_1/asm_25_kl_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/15a/2k5nv102cy9x5ug9h64dyha4vz4ok1q4/450_490_1/asm_25_kl_1.jpg
Мебельный сейф VALBERG ASM-25 CL**;15392руб.;250x340x280;246x336x226;14;19;класс S1;1;механический кодовый + ключевой;оттенок коричневого с эффектом молотковой эмали;порошковое;5 лет;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).        толщина лицевой панели - 5 мм толщина боковых стенок - 2 ммзащита замка от высверливаниякомплектуются ключевым замком KABA MAUER + кодовый механический замок (без смены кода)предусмотрена возможность анкерного крепления к полу и стене (анкерный болт в комплект не входит)**под заказ;https://www.safe.ru/upload/iblock/eca/gt0ghku4ln40b8aiteu1dviyg1011k6q/asm_25_cl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/729/vcmrzhf0k0wrskgkhwo8p3owto8dff6h/450_490_1/asm_25_cl_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/b1d/d0c8aay8w8cg21r8q8aafpjc4jcme5ux/450_490_1/asm_25_cl_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/93b/qsl9tz1smu4n34ivegqe90vvvd3c3ys6/450_490_1/asm_25_cl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/e42/terbbvc2mzzjqet4qi0uk5i821yaa0ja/450_490_1/asm_25_cl_4.jpg
Мебельный сейф VALBERG ASM 25 EL;18452руб.;250x340x280;246x336x226;13;19;класс S1;1;электронный кодовый;оттенок коричневого с эффектом молотковой эмали;порошковое;5 лет (с учетом прохождения планового ТО);ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).        толщина лицевой панели - 5 мм толщина боковых стенок - 2 ммзащита замка от высверливаниякомплектуются кодовым электронным замком PS 310/E01 (ПРОМЕТ)предусмотрена возможность анкерного крепления к полу и стене (анкерный болт в комплект не входит);https://www.safe.ru/upload/iblock/f44/hv3bpx7fefylt8v20nljsmr6rj6tybta/asm_25el_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/171/7ujrxs2anof27qlulzi8hu5bb2oe3smt/450_490_1/asm_25el_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/085/bwfa9kgfmaah2v384gkckppovrzpd2ri/450_490_1/asm_25el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/f3f/22kzgpu4loxcgg0v8vu4i9jkm8q936od/450_490_1/asm_25el_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/d63/zpcpb4u51pnxf6ahw3yw0jw1hedz5ne8/450_490_1/asm_25el_3.jpg
Мебельный сейф VALBERG ASM-28;14780руб.;280x390x280;276x386x226;15;24;класс S1;1;ключевой;оттенок коричневого с эффектом молотковой эмали;порошковое;5 лет (с учетом прохождения планового ТО);ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).        толщина лицевой панели - 5 мм толщина боковых стенок - 2 ммзащита замка от высверливаниякомплектуются ключевым замком KABA MAUER предусмотрена возможность анкерного крепления к полу и стене (анкерный болт в комплект не входит);https://www.safe.ru/upload/iblock/342/5w8fdkf5991gasv22o8wsci9r5bhe60j/asm_28_kl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/bb6/yg6tkq3bg23gk8gkutx53jhc2qu3ikct/450_490_1/asm_28_kl_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/4bb/kiknl491qdlcaomnbrtmi0l2iuebn0t8/450_490_1/asm_28_kl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/51d/txwh4e9bzn129kkiyazy47byy4vufcaj/450_490_1/asm_28_kl_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/dfd/2yrhkoyqqzk1w09knyyzabzjokbnelqh/450_490_1/asm_28_kl_4.jpg
Мебельный сейф VALBERG ASM-30;16616руб.;300x440x355;296x436x301;21;39;класс S1;1;ключевой;оттенок коричневого с эффектом молотковой эмали;порошковое;5 лет (с учетом прохождения планового ТО);ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).        толщина лицевой панели - 5 мм толщина боковых стенок - 2 ммзащита замка от высверливаниякомплектуются ключевым замком KABA MAUER предусмотрена возможность анкерного крепления к полу и стене (анкерный болт в комплект не входит);https://www.safe.ru/upload/iblock/a62/coz0qik30qnq90txp70yi73e2h6mockh/asm_30_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/860/sltapsvy6jtis911cxsjyt869h2b86hf/450_490_1/asm_30_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/2ec/xk6hygkzsgkljv2dxvu4crfhxjc18gmz/450_490_1/asm_30_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/704/cg4cwco81h9x03wgv4q0nvuqwkm5ngkk/450_490_1/asm_30_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/bbc/uful59wco0m531zxbm22990nz7mqkn43/450_490_1/asm_30_1.jpg
Мебельный сейф VALBERG ASM-30 EL;21716руб.;300x440x355;296x436x301;20;39;класс S1;1;электронный кодовый;оттенок коричневого с эффектом молотковой эмали;порошковое;5 лет (с учетом прохождения планового ТО);ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).        толщина лицевой панели - 5 мм толщина боковых стенок - 2 ммзащита замка от высверливаниякомплектуются кодовым электронным замком PS 310/E01 (ПРОМЕТ)предусмотрена возможность анкерного крепления к полу и стене (анкерный болт в комплект не входит);https://www.safe.ru/upload/iblock/019/pnhwjw36zm5caa0v6q9945iv5mvz3chi/asm_30_el_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/d01/9pnzdutyzt5933s2mx53v6xsfbew6bih/450_490_1/asm_30_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/10e/f616y0i65wj9coqew01eqgfz3tfx4pvo/450_490_1/asm_30_el_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/188/j7yzv62dbipliblxm3o96vlkmocru1cr/450_490_1/asm_30_el_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/ae1/8wirz231oeco0b8j2m0fw5jo8jr9ujnt/450_490_1/asm_30_el_3.jpg
Мебельный сейф VALBERG ASM-30 CL**;18656руб.;300x440x355;296x436x301;21;39;класс S1;1;механический кодовый + ключевой;оттенок коричневого с эффектом молотковой эмали;порошковое;5 лет (с учетом прохождения планового ТО);ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).        толщина лицевой панели - 5 мм толщина боковых стенок - 2 ммзащита замка от высверливаниякомплектуются ключевым замком KABA MAUER + кодовый механический замок (без смены кода)предусмотрена возможность анкерного крепления к полу и стене (анкерный болт в комплект не входит)**под заказ;https://www.safe.ru/upload/iblock/eab/qkyd36u0eq8izeypffv7ky4o5hz3kgcv/asm_30_cl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/811/1j3dac2ei1z3mpju85i616vb4eh9meh3/450_490_1/asm_30_cl_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/067/5ve0tfrqp10oizx4ry7gt4ust4t5tj3b/450_490_1/asm_30_cl_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/f00/uyqlmj5esmlll6ai1l2piyvx8snn1bum/450_490_1/asm_30_cl_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/0c8/8k6qw7trttelboe84vx857x1wj4dazy6/450_490_1/asm_30_cl_3.jpg
Мебельный сейф VALBERG ASM 46;19982руб.;460x440x355;456x436x301;27;60;класс S1;1;ключевой;оттенок коричневого с эффектом молотковой эмали;порошковое;5 лет (с учетом прохождения планового ТО);ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).        толщина лицевой панели - 5 мм толщина боковых стенок - 2 ммзащита замка от высверливаниякомплектуются ключевым замком KABA MAUER предусмотрена возможность анкерного крепления к полу и стене (анкерный болт в комплект не входит);https://www.safe.ru/upload/iblock/bf8/1djcqen5icjjmj5bth2wiqnqkllaaac0/asm_46_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/118/1xypmwkyfse6yp50z4xsjlvwrj62t5x4/450_490_1/asm_46_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/3e4/qsxby1upgv8bw2kbnfsqi1xioi0oj2eg/450_490_1/asm_46_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/5f0/mpgp8soewvm5p5b76mo8fp24njttys6z/450_490_1/asm_46_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/73e/zp6ftpcc3v33w9910ai4ii15tk03yrt8/450_490_1/asm_46_1.jpg
Мебельный сейф VALBERG ASM 46 EL;25082руб.;460x440x355;456x436x301;26;60;класс S1;1;электронный кодовый;оттенок коричневого с эффектом молотковой эмали;порошковое;5 лет (с учетом прохождения планового ТО);ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).        толщина лицевой панели - 5 мм толщина боковых стенок - 2 ммзащита замка от высверливаниякомплектуются кодовым электронным замком PS 310/E01 (ПРОМЕТ)предусмотрена возможность анкерного крепления к полу и стене (анкерный болт в комплект не входит);https://www.safe.ru/upload/iblock/cd1/hb8h9z6exqghmkfkkb26t5jj07ri26r5/asm_46_el_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/4f4/x9lzc39xs2mejsfqhjr1f14821hrn47t/450_490_1/asm_46_el_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/530/nok0qjif0ts9hb0moilps337mbanibuy/450_490_1/asm_46_el_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/2ce/h201pnmnp5ka71g0tq4wjmn5eu0rfpk2/450_490_1/asm_46_el_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/22d/a5d6opujj8zpwoasctrff4yhl5h439eg/450_490_1/asm_46_el_3.jpg
Офисный сейф VALBERG ASM 63T;26102руб.;630x440x355;500x436x301;38;66/13;класс S1;1;ключевой;оттенок коричневого с эффектом молотковой эмали;порошковое;1 год;ПРОМЕТ;Россия;                                    Предназначен для хранения документов и ценностей дома и в офисе. Устойчивость к взлому по ГОСТ Р 55148-2012: класс S1 (ГОСТ Р).        толщина лицевой панели - 5 мм толщина боковых стенок - 2 ммзащита замка от высверливаниякомплектуются ключевым замком KABA MAUER предусмотрена возможность анкерного крепления к полу и стене (анкерный болт в комплект не входит);https://www.safe.ru/upload/iblock/db7/nawql7lse6c716ukhmzygp43e6dg1m89/asm_63t_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/fc0/2lksv1x9nrknrzie3bx7qac8s3hb87f4/450_490_1/asm_63t_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/573/929bo4nnn1acpt3c6l993q7kluo36t92/450_490_1/asm_63t_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/a75/08wl8vncvy1g37t4dyfe1zjgac70yo2g/450_490_1/asm_63t_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/569/5vf4g0ebu09x1m3eo6i9al5a7e2zc1wz/450_490_1/asm_63t_4.jpg
