Артикул;Цена;Размеры внешние;Вес, кг;Количество ярусов хранения;Максимальная нагрузка;Максимальная нагрузка на полку;Цвет;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Стеллаж SB 200x152x51/4;17381руб.;2000x1537x518;47.3;4;до 2100 кг;300;Цвет стоек синий (RAL 5002) гладкая, Цвет балок серый (RAL 7038) гладкая;;ПРОМЕТ;Россия;"Стеллаж универсального использования в офисе, дома, гараже или на складе. Быстрая и лёгкая сборка, без применения отверток и ключейМаксимальная нагрузка на ярус до 300 кгМаксимальная нагрузка на стеллаж до 2100 кгНастил ярусов - фанераЦвет стоек синий - RAL 5002 гладкая ; Цвет балок серый – RAL 7038 гладкаяШаг перфорации стойки – 50 ммВысота стеллажей SB - 2000 мм Ширина стеллажей SB - 1525 мм. Глубина стеллажей SB - 508 мм Комплектация:Стойка SB 200 - 4 шт.Балка продольная SB 152 - 8 шт.Балка поперечная SB 51 - 8 шт.Стяжка балок SB 51 - 4 шт.Настил яруса SB 152х51 фанера - 4 шт. ";https://www.safe.ru/upload/iblock/024/SB_200x152x51_4_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/9a0/450_490_1/SB_200x152x51_4_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/c11/450_490_1/stellazh_sb_200x152x61_4_7.jpg;https://www.safe.ru/upload/resize_cache/iblock/363/450_490_1/stellazh_sb_200x152x61_4_8.jpg;https://www.safe.ru/upload/resize_cache/iblock/856/450_490_1/stellazh_sb_200x152x61_4_4.jpg
Стеллаж SB 200x152x51/4 c оцинкованным настилом;24725руб.;2000x1537x518;28.68;4;до 2100 кг;500;Цвет стоек синий (RAL 5002) гладкая, Цвет балок серый (RAL 7038);;ПРОМЕТ;Россия;"Стеллаж универсального использования в офисе, дома, гараже или на складе. Быстрая и лёгкая сборка, без применения отверток и ключейМаксимальная нагрузка на ярус стеллажа при установке балки SB 1525мм - 500 кг.Максимальная нагрузка на стеллаж до 2100 кгНастил ярусов - оцинкованная стальЦвет стоек синий - RAL 5002 гладкая ; Цвет балок серый – RAL 7038 Шаг перфорации стойки – 50 ммПолки имеют подгибы-замки с каждой стороны, которые обеспечивают прочное скрепление между собой, а также травмобезопасность (препятствуют порезам на руках при установке)Комплектация:Стойка SB 200 - 4 шт.Балка продольная SB 152 - 8 шт.Балка поперечная SB 51 - 8 шт.Стяжка балок SB 51 - 4 шт.Полка яруса SB 51 - 40 шт. ";https://www.safe.ru/upload/iblock/5c2/SB_200%D1%85152%D1%8551%D1%854_otsink_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/061/450_490_1/sb_chast_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/f09/450_490_1/sb_chast_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/33a/450_490_1/sb_chast_3.jpg;
Стеллаж SB 200x152x61/3;15201руб.;2000x1537x621;41.7;3;до 2100 кг;300;Цвет стоек синий (RAL 5002) гладкая, Цвет балок серый (RAL 7038) гладкая;;ПРОМЕТ;Россия;"Стеллаж универсального использования в офисе, дома, гараже или на складе. Быстрая и лёгкая сборка, без применения отверток и ключейМаксимальная нагрузка на ярус до 300 кгМаксимальная нагрузка на стеллаж до 2100 кгНастил ярусов - фанераЦвет стоек синий - RAL 5002 гладкая ; Цвет балок серый – RAL 7038 гладкаяШаг перфорации стойки – 50 ммВысота стеллажей SB - 2000 мм Ширина стеллажей SB - 1525 мм. Глубина стеллажей SB - 610 мм Комплектация:Стойка SB 200 - 4 шт.Балка продольная SB 152 - 6 шт.Балка поперечная SB 61 - 6 шт.Стяжка балок SB 61 - 3 шт.Настил яруса SB 152х61 фанера - 3 шт. ";https://www.safe.ru/upload/iblock/603/SB_200x152x61_3_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/beb/450_490_1/SB_200x152x61_3_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/04b/450_490_1/stellazh_sb_200x152x61_4_7.jpg;https://www.safe.ru/upload/resize_cache/iblock/084/450_490_1/stellazh_sb_200x152x61_4_8.jpg;https://www.safe.ru/upload/resize_cache/iblock/17f/450_490_1/stellazh_sb_200x152x61_4_4.jpg
Стеллаж SB 200x152x61/4;18813руб.;2000x1537x621;51.3;4;до 2100 кг;300;Цвет стоек синий (RAL 5002) гладкая, Цвет балок серый (RAL 7038) гладкая;;ПРОМЕТ;Россия;"Стеллаж универсального использования в офисе, дома, гараже или на складе. Быстрая и лёгкая сборка, без применения отверток и ключейМаксимальная нагрузка на ярус до 300 кгМаксимальная нагрузка на стеллаж до 2100 кгНастил ярусов - фанераЦвет стоек синий - RAL 5002 гладкая ; Цвет балок серый – RAL 7038 гладкаяШаг перфорации стойки – 50 ммВысота стеллажей SB - 2000 мм Ширина стеллажей SB - 1525 мм. Глубина стеллажей SB - 610 мм Комплектация:Стойка SB 200 - 4 шт.Балка продольная SB 152 - 8 шт.Балка поперечная SB 61 - 8 шт.Стяжка балок SB 61 - 4 шт.Настил яруса SB 152х61 фанера - 4 шт. ";https://www.safe.ru/upload/iblock/1d9/stellazh_sb_200x152x61_4_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/c1d/450_490_1/stellazh_sb_200x152x61_4_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/e1f/450_490_1/stellazh_sb_200x152x61_4_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/6ab/450_490_1/stellazh_sb_200x152x61_4_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/d26/450_490_1/stellazh_sb_200x152x61_4_7.jpg
Стеллаж SB 200x152x61/4 c оцинкованным настилом;27299руб.;2000x1537x621;30.04;4;до 2100 кг;500;Цвет стоек синий (RAL 5002) гладкая, Цвет балок серый (RAL 7038);;ПРОМЕТ;Россия;"Стеллаж универсального использования в офисе, дома, гараже или на складе. Быстрая и лёгкая сборка, без применения отверток и ключейМаксимальная нагрузка на ярус стеллажа при установке балки SB 1525мм - 500 кг.Максимальная нагрузка на стеллаж до 2100 кгНастил ярусов - оцинкованная стальЦвет стоек синий - RAL 5002 гладкая ; Цвет балок серый – RAL 7038 Шаг перфорации стойки – 50 ммПолки имеют подгибы-замки с каждой стороны, которые обеспечивают прочное скрепление между собой, а также травмобезопасность (препятствуют порезам на руках при установке)Комплектация:Стойка SB 200 - 4 шт.Балка продольная SB 152 - 8 шт.Балка поперечная SB 61 - 8 шт.Стяжка балок SB 61 - 4 шт.Полка яруса SB 61 - 40 шт. ";https://www.safe.ru/upload/iblock/4ca/SB_200%D1%85152%D1%8561%D1%854_otsink_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/448/450_490_1/sb_chast_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/66d/450_490_1/sb_chast_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/fbd/450_490_1/sb_chast_3.jpg;
Стеллаж SB 200x152x61/5;22425руб.;2000x1537x621;64.5;5;до 2100 кг;300;Цвет стоек синий (RAL 5002) гладкая, Цвет балок серый (RAL 7038) гладкая;;ПРОМЕТ;Россия;"Стеллаж универсального использования в офисе, дома, гараже или на складе. Быстрая и лёгкая сборка, без применения отверток и ключейМаксимальная нагрузка на ярус до 300 кгМаксимальная нагрузка на стеллаж до 2100 кгНастил ярусов - фанераЦвет стоек синий - RAL 5002 гладкая ; Цвет балок серый – RAL 7038 гладкаяШаг перфорации стойки – 50 ммВысота стеллажей SB - 2000 мм Ширина стеллажей SB - 1525 мм. Глубина стеллажей SB - 610 мм Комплектация:Стойка SB 200 - 4 шт.Балка продольная SB 152 - 10 шт.Балка поперечная SB 61 - 10 шт.Стяжка балок SB 61 - 5 шт.Настил яруса SB 152х61 фанера - 5 шт. ";https://www.safe.ru/upload/iblock/d29/sb_200_152x61_5_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/138/450_490_1/sb_200_152x61_5_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/217/450_490_1/stellazh_sb_200x152x61_4_7.jpg;https://www.safe.ru/upload/resize_cache/iblock/9e0/450_490_1/stellazh_sb_200x152x61_4_8.jpg;https://www.safe.ru/upload/resize_cache/iblock/b02/450_490_1/stellazh_sb_200x152x61_4_4.jpg
Стеллаж SB 200x183x51/4;22481руб.;2000x1842x518;50.1;4;до 2100 кг;300;Цвет стоек синий (RAL 5002) гладкая, Цвет балок серый (RAL 7038) гладкая;;ПРОМЕТ;Россия;"Стеллаж универсального использования в офисе, дома, гараже или на складе. Быстрая и лёгкая сборка, без применения отверток и ключейМаксимальная нагрузка на ярус до 300 кгМаксимальная нагрузка на стеллаж до 2100 кгНастил ярусов - фанераЦвет стоек синий - RAL 5002 гладкая ; Цвет балок серый – RAL 7038 гладкаяШаг перфорации стойки – 50 ммВысота стеллажей SB - 2000 мм Ширина стеллажей SB - 1830 мм. Глубина стеллажей SB - 508 мм Комплектация:Стойка SB 200 - 4 шт.Балка продольная SB 183 - 8 шт.Балка поперечная SB 51 - 8 шт.Стяжка балок SB 51 - 4 шт.Настил яруса SB 183х51 фанера - 4 шт. ";https://www.safe.ru/upload/iblock/16e/SB_200x183x51_4_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/cf9/450_490_1/SB_200x183x51_4_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/055/450_490_1/stellazh_sb_200x152x61_4_7.jpg;https://www.safe.ru/upload/resize_cache/iblock/327/450_490_1/stellazh_sb_200x152x61_4_8.jpg;https://www.safe.ru/upload/resize_cache/iblock/978/450_490_1/stellazh_sb_200x152x61_4_4.jpg
Стеллаж SB 200x183x51/4 c оцинкованным настилом;29050руб.;2000x1842x518;31.08;4;до 2100 кг;450;Цвет стоек синий (RAL 5002) гладкая, Цвет балок серый (RAL 7038);;ПРОМЕТ;Россия;"Стеллаж универсального использования в офисе, дома, гараже или на складе. Быстрая и лёгкая сборка, без применения отверток и ключейМаксимальная нагрузка на ярус стеллажа при установке балки SB 1830 мм - 450 кг.Максимальная нагрузка на стеллаж до 2100 кгНастил ярусов - оцинкованная стальЦвет стоек синий - RAL 5002 гладкая ; Цвет балок серый – RAL 7038 Шаг перфорации стойки – 50 ммПолки имеют подгибы-замки с каждой стороны, которые обеспечивают прочное скрепление между собой, а также травмобезопасность (препятствуют порезам на руках при установке)Комплектация:Стойка SB 200 - 4 шт.Балка продольная SB 183 - 8 шт.Балка поперечная SB 51 - 8 шт.Стяжка балок SB 51 - 4 шт.Полка яруса SB 51 - 48 шт. ";https://www.safe.ru/upload/iblock/ece/SB_200%D1%85183%D1%8551%D1%854_otsink_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/18a/450_490_1/sb_chast_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/481/450_490_1/sb_chast_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/006/450_490_1/sb_chast_3.jpg;
Стеллаж SB 200x183x61/4;23015руб.;2000x1842x621;60.2;4;до 2100 кг;300;Цвет стоек синий (RAL 5002) гладкая, Цвет балок серый (RAL 7038) гладкая;;ПРОМЕТ;Россия;"Стеллаж универсального использования в офисе, дома, гараже или на складе. Быстрая и лёгкая сборка, без применения отверток и ключейМаксимальная нагрузка на ярус до 300 кгМаксимальная нагрузка на стеллаж до 2100 кгНастил ярусов - фанераЦвет стоек синий - RAL 5002 гладкая ; Цвет балок серый – RAL 7038 гладкаяШаг перфорации стойки – 50 ммВысота стеллажей SB - 2000 мм Ширина стеллажей SB - 1830 мм. Глубина стеллажей SB - 610 мм Комплектация:Стойка SB 200 - 4 шт.Балка продольная SB 183 - 8 шт.Балка поперечная SB 61 - 8 шт.Стяжка балок SB 61 - 4 шт.Настил яруса SB 183х61 фанера - 4 шт. ";https://www.safe.ru/upload/iblock/ad9/SB_200x183x61_4_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/e0a/450_490_1/SB_200x183x61_4_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/488/450_490_1/stellazh_sb_200x152x61_4_7.jpg;https://www.safe.ru/upload/resize_cache/iblock/fe5/450_490_1/stellazh_sb_200x152x61_4_8.jpg;https://www.safe.ru/upload/resize_cache/iblock/3df/450_490_1/stellazh_sb_200x152x61_4_4.jpg
Стеллаж SB 200x183x61/4 c оцинкованным настилом;32032руб.;2000x1842x621;32.44;4;до 2100 кг;450;Цвет стоек синий (RAL 5002) гладкая, Цвет балок серый (RAL 7038);;ПРОМЕТ;Россия;"Стеллаж универсального использования в офисе, дома, гараже или на складе. Быстрая и лёгкая сборка, без применения отверток и ключейМаксимальная нагрузка на ярус стеллажа при установке балки SB 1830 мм - 450 кг.Максимальная нагрузка на стеллаж до 2100 кгНастил ярусов - оцинкованная стальЦвет стоек синий - RAL 5002 гладкая ; Цвет балок серый – RAL 7038 Шаг перфорации стойки – 50 ммПолки имеют подгибы-замки с каждой стороны, которые обеспечивают прочное скрепление между собой, а также травмобезопасность (препятствуют порезам на руках при установке)Комплектация:Стойка SB 200 - 4 шт.Балка продольная SB 183 - 8 шт.Балка поперечная SB 61 - 8 шт.Стяжка балок SB 61 - 4 шт.Полка яруса SB 61 - 48 шт. ";https://www.safe.ru/upload/iblock/aeb/SB_200%D1%85183%D1%8561%D1%854_otsink_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/44f/450_490_1/sb_chast_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/97a/450_490_1/sb_chast_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/429/450_490_1/sb_chast_3.jpg;
